idx1,idx2,weight,type
621,757,1,1
52,816,1,1
140,1088,1,1
499,1213,1,1
565,1235,1,1
427,1126,1,1
543,1138,1,1
388,1696,1,1
349,809,1,1
624,1169,1,1
502,741,1,1
518,1134,1,1
201,847,1,1
294,1102,1,1
145,1017,1,1
388,1695,1,1
388,1697,1,1
392,1030,1,1
310,1874,1,1
310,1875,1,1
310,1876,1,1
90,1066,1,1
310,1877,1,1
310,1878,1,1
409,816,1,1
587,1167,1,1
82,945,1,1
60,1168,1,1
570,1074,1,1
110,1168,1,1
436,827,1,1
546,2090,1,1
145,964,1,1
546,2089,1,1
436,823,1,1
349,770,1,1
172,1066,1,1
255,908,1,1
365,718,1,1
195,873,1,1
255,909,1,1
509,1369,1,1
38,823,1,1
680,1404,1,1
455,1082,1,1
552,1213,1,1
190,858,1,1
16,986,1,1
188,858,1,1
466,883,1,1
16,1017,1,1
43,1696,1,1
347,1160,1,1
134,954,1,1
574,883,1,1
580,1070,1,1
444,902,1,1
314,1737,1,1
90,1150,1,1
43,1697,1,1
43,1695,1,1
455,1169,1,1
201,940,1,1
283,844,1,1
128,766,1,1
116,780,1,1
624,1082,1,1
378,857,1,1
624,1076,1,1
460,1129,1,1
242,1169,1,1
292,1701,1,1
441,1858,1,1
255,994,1,1
16,951,1,1
536,831,1,1
294,1115,1,1
585,1280,1,1
624,1143,1,1
411,718,1,1
10,1693,1,1
255,993,1,1
325,1066,1,1
292,1702,1,1
668,1168,1,1
347,1168,1,1
680,1473,1,1
292,1706,1,1
444,872,1,1
292,1705,1,1
292,1704,1,1
292,1703,1,1
480,718,1,1
325,1150,1,1
110,1010,1,1
524,734,1,1
276,1023,1,1
524,757,1,1
172,914,1,1
82,1109,1,1
448,964,1,1
316,1143,1,1
172,933,1,1
50,720,1,1
138,956,1,1
88,858,1,1
576,1134,1,1
618,846,1,1
365,858,1,1
172,948,1,1
686,1138,1,1
316,1169,1,1
253,1167,1,1
172,967,1,1
376,734,1,1
16,1138,1,1
303,816,1,1
316,1115,1,1
132,816,1,1
509,1108,1,1
160,734,1,1
316,1082,1,1
587,904,1,1
50,791,1,1
491,1854,1,1
509,1137,1,1
101,1269,1,1
206,1143,1,1
299,1201,1,1
376,757,1,1
299,1202,1,1
612,1278,1,1
658,827,1,1
255,722,1,1
480,858,1,1
16,1150,1,1
112,1167,1,1
455,971,1,1
43,1874,1,1
242,1321,1,1
88,718,1,1
574,1070,1,1
675,1430,1,1
570,986,1,1
400,720,1,1
201,757,1,1
90,951,1,1
276,894,1,1
618,724,1,1
294,1036,1,1
601,1874,1,1
12,1695,1,1
12,1696,1,1
12,1697,1,1
43,1878,1,1
43,1877,1,1
43,1876,1,1
43,1875,1,1
281,1460,1,1
574,1074,1,1
310,1695,1,1
10,1872,1,1
310,1696,1,1
310,1697,1,1
662,1030,1,1
592,806,1,1
294,996,1,1
170,1624,1,1
255,814,1,1
10,1873,1,1
10,1871,1,1
294,1034,1,1
16,1070,1,1
16,1066,1,1
471,1134,1,1
624,1269,1,1
603,1102,1,1
201,734,1,1
493,1000,1,1
520,1030,1,1
662,757,1,1
392,940,1,1
624,757,1,1
441,1473,1,1
347,949,1,1
367,1010,1,1
128,979,1,1
658,1316,1,1
264,951,1,1
126,1010,1,1
425,1150,1,1
349,1130,1,1
552,806,1,1
626,964,1,1
624,847,1,1
242,873,1,1
626,986,1,1
392,757,1,1
60,905,1,1
585,951,1,1
541,1038,1,1
370,1085,1,1
161,1635,1,1
16,734,1,1
692,766,1,1
24,757,1,1
624,902,1,1
289,996,1,1
400,1143,1,1
640,1023,1,1
327,718,1,1
195,1143,1,1
367,981,1,1
123,806,1,1
469,1639,1,1
624,872,1,1
308,1134,1,1
46,1023,1,1
289,1017,1,1
624,883,1,1
532,1098,1,1
110,779,1,1
176,878,1,1
624,873,1,1
176,822,1,1
62,810,1,1
523,1874,1,1
425,1066,1,1
283,1125,1,1
311,832,1,1
289,1138,1,1
176,751,1,1
71,1167,1,1
96,951,1,1
179,718,1,1
220,1348,1,1
299,1871,1,1
322,951,1,1
299,1872,1,1
299,1873,1,1
275,1863,1,1
275,1862,1,1
275,1861,1,1
617,1624,1,1
330,1138,1,1
541,949,1,1
65,1148,1,1
242,806,1,1
123,872,1,1
626,1017,1,1
126,981,1,1
381,1562,1,1
381,1560,1,1
60,891,1,1
695,828,1,1
392,734,1,1
580,807,1,1
156,1168,1,1
76,1150,1,1
62,843,1,1
552,756,1,1
176,790,1,1
278,1167,1,1
123,902,1,1
333,797,1,1
441,1404,1,1
624,791,1,1
5,741,1,1
24,734,1,1
523,1875,1,1
12,1874,1,1
264,1150,1,1
624,1036,1,1
624,1034,1,1
460,1168,1,1
57,806,1,1
624,1030,1,1
585,1150,1,1
444,996,1,1
46,850,1,1
624,1017,1,1
624,1038,1,1
201,1030,1,1
289,872,1,1
289,873,1,1
580,986,1,1
411,858,1,1
388,1874,1,1
388,1875,1,1
388,1876,1,1
361,1313,1,1
574,807,1,1
388,1877,1,1
176,1109,1,1
12,1875,1,1
12,1876,1,1
12,1877,1,1
12,1878,1,1
651,832,1,1
444,949,1,1
400,949,1,1
126,1168,1,1
662,734,1,1
143,956,1,1
292,1648,1,1
242,1102,1,1
110,981,1,1
338,1131,1,1
145,1143,1,1
580,1018,1,1
255,1097,1,1
176,1085,1,1
255,1141,1,1
388,1878,1,1
523,1876,1,1
176,945,1,1
624,940,1,1
444,1102,1,1
82,751,1,1
514,2211,1,1
62,714,1,1
541,1143,1,1
289,964,1,1
624,929,1,1
668,981,1,1
585,1066,1,1
427,997,1,1
299,1693,1,1
580,914,1,1
255,1234,1,1
485,1082,1,1
626,931,1,1
523,1878,1,1
523,1877,1,1
156,1010,1,1
580,933,1,1
347,1069,1,1
60,1019,1,1
238,1869,1,1
444,1034,1,1
238,1870,1,1
624,996,1,1
485,1169,1,1
46,894,1,1
565,969,1,1
299,1624,1,1
378,969,1,1
281,1224,1,1
325,951,1,1
381,1697,1,1
381,1696,1,1
624,964,1,1
592,1102,1,1
668,1010,1,1
392,847,1,1
264,1066,1,1
146,757,1,1
588,873,1,1
185,996,1,1
340,873,1,1
616,902,1,1
31,751,1,1
677,757,1,1
413,874,1,1
262,1626,1,1
395,1102,1,1
125,883,1,1
616,883,1,1
340,872,1,1
285,893,1,1
85,1168,1,1
516,858,1,1
616,873,1,1
616,872,1,1
125,872,1,1
85,1180,1,1
213,1102,1,1
428,1150,1,1
86,852,1,1
152,980,1,1
539,1910,1,1
306,1878,1,1
693,803,1,1
335,1131,1,1
31,790,1,1
340,929,1,1
251,718,1,1
628,724,1,1
9,772,1,1
616,940,1,1
306,1877,1,1
346,768,1,1
306,1876,1,1
306,1875,1,1
306,1874,1,1
616,929,1,1
291,1292,1,1
396,779,1,1
446,1714,1,1
340,902,1,1
85,1183,1,1
130,847,1,1
130,940,1,1
677,873,1,1
616,791,1,1
704,1066,1,1
41,998,1,1
413,803,1,1
622,952,1,1
483,1648,1,1
291,1178,1,1
130,757,1,1
495,858,1,1
424,835,1,1
92,931,1,1
616,757,1,1
251,848,1,1
41,1025,1,1
594,816,1,1
495,848,1,1
19,1911,1,1
561,756,1,1
567,1138,1,1
306,779,1,1
363,1165,1,1
638,1693,1,1
251,1723,1,1
693,874,1,1
616,847,1,1
280,1035,1,1
181,1138,1,1
85,1201,1,1
428,1169,1,1
511,1070,1,1
473,896,1,1
141,729,1,1
103,1719,1,1
269,1167,1,1
335,1030,1,1
92,872,1,1
468,1364,1,1
374,810,1,1
141,721,1,1
483,714,1,1
616,964,1,1
473,1003,1,1
306,1696,1,1
85,1010,1,1
85,981,1,1
64,757,1,1
424,1070,1,1
423,1129,1,1
616,1115,1,1
75,893,1,1
64,734,1,1
329,720,1,1
516,718,1,1
340,1082,1,1
236,733,1,1
628,846,1,1
340,1038,1,1
268,1343,1,1
340,1036,1,1
340,1034,1,1
125,1017,1,1
80,825,1,1
396,981,1,1
616,1143,1,1
423,1168,1,1
151,1201,1,1
58,1169,1,1
74,1034,1,1
324,996,1,1
69,1138,1,1
64,816,1,1
97,827,1,1
346,964,1,1
196,1220,1,1
329,791,1,1
291,1445,1,1
396,1010,1,1
616,1169,1,1
504,1909,1,1
671,940,1,1
358,1134,1,1
31,945,1,1
125,1066,1,1
97,858,1,1
616,1082,1,1
616,1076,1,1
511,948,1,1
125,964,1,1
340,996,1,1
671,1030,1,1
19,842,1,1
616,1017,1,1
622,710,1,1
401,1858,1,1
374,987,1,1
368,1417,1,1
74,1168,1,1
638,1872,1,1
616,996,1,1
340,964,1,1
31,822,1,1
363,1278,1,1
424,974,1,1
70,1054,1,1
622,748,1,1
301,741,1,1
616,1030,1,1
406,1857,1,1
14,972,1,1
511,883,1,1
340,1017,1,1
130,1030,1,1
346,872,1,1
14,977,1,1
219,816,1,1
429,742,1,1
268,1382,1,1
19,827,1,1
672,779,1,1
616,1034,1,1
550,1706,1,1
644,950,1,1
406,1856,1,1
616,1038,1,1
550,1702,1,1
268,1397,1,1
616,1036,1,1
550,1701,1,1
306,1697,1,1
306,1695,1,1
523,1010,1,1
225,1030,1,1
380,718,1,1
48,791,1,1
225,757,1,1
257,806,1,1
451,1070,1,1
230,851,1,1
136,1036,1,1
561,996,1,1
48,1082,1,1
363,775,1,1
655,846,1,1
48,1076,1,1
19,1564,1,1
534,1030,1,1
257,1036,1,1
262,1108,1,1
48,847,1,1
141,1067,1,1
505,1232,1,1
567,872,1,1
48,1038,1,1
48,757,1,1
561,1296,1,1
158,1135,1,1
174,1036,1,1
48,734,1,1
368,2210,1,1
48,1143,1,1
257,1102,1,1
203,781,1,1
108,1138,1,1
567,873,1,1
550,1160,1,1
539,1217,1,1
677,1143,1,1
136,996,1,1
225,734,1,1
174,996,1,1
407,768,1,1
682,781,1,1
225,996,1,1
225,986,1,1
26,756,1,1
225,940,1,1
14,1698,1,1
251,1236,1,1
48,996,1,1
147,827,1,1
108,986,1,1
48,929,1,1
550,949,1,1
8,1692,1,1
48,940,1,1
14,1700,1,1
550,956,1,1
380,858,1,1
19,1452,1,1
627,1632,1,1
627,1630,1,1
561,1102,1,1
97,1522,1,1
85,1693,1,1
14,1699,1,1
225,873,1,1
48,1036,1,1
257,996,1,1
48,1034,1,1
48,872,1,1
48,873,1,1
48,1030,1,1
48,883,1,1
136,1115,1,1
225,847,1,1
48,1017,1,1
306,1168,1,1
423,1878,1,1
225,964,1,1
48,902,1,1
174,756,1,1
638,1201,1,1
423,1874,1,1
423,1875,1,1
423,1876,1,1
423,1877,1,1
158,739,1,1
141,966,1,1
462,996,1,1
567,1036,1,1
114,1025,1,1
141,821,1,1
561,806,1,1
251,909,1,1
317,1868,1,1
534,734,1,1
251,1562,1,1
163,1035,1,1
677,964,1,1
600,1134,1,1
522,823,1,1
534,757,1,1
522,827,1,1
291,1070,1,1
335,883,1,1
567,1017,1,1
439,1169,1,1
251,1522,1,1
561,802,1,1
704,1150,1,1
48,1269,1,1
572,1126,1,1
130,734,1,1
251,858,1,1
616,734,1,1
500,1121,1,1
478,954,1,1
439,1082,1,1
616,720,1,1
495,827,1,1
489,1566,1,1
197,832,1,1
141,793,1,1
268,1730,1,1
567,1074,1,1
374,714,1,1
240,816,1,1
340,720,1,1
41,1069,1,1
262,1430,1,1
3,1035,1,1
660,954,1,1
48,720,1,1
25,1857,1,1
434,1158,1,1
225,1138,1,1
369,741,1,1
151,1693,1,1
357,1624,1,1
92,1169,1,1
306,1010,1,1
25,1856,1,1
550,1213,1,1
339,1624,1,1
225,1115,1,1
103,1103,1,1
48,1169,1,1
423,1695,1,1
351,766,1,1
423,1696,1,1
423,1697,1,1
446,915,1,1
306,981,1,1
141,916,1,1
457,1167,1,1
36,1134,1,1
92,1082,1,1
462,872,1,1
633,1167,1,1
478,1624,1,1
495,718,1,1
567,996,1,1
505,816,1,1
567,986,1,1
561,1389,1,1
174,1115,1,1
545,973,1,1
41,1160,1,1
41,1168,1,1
561,1377,1,1
451,948,1,1
622,1167,1,1
97,1282,1,1
567,964,1,1
151,1183,1,1
168,1257,1,1
424,1135,1,1
368,727,1,1
506,1030,1,1
317,1034,1,1
521,1253,1,1
40,1708,1,1
694,1169,1,1
368,718,1,1
191,902,1,1
302,964,1,1
521,1277,1,1
396,1695,1,1
588,1115,1,1
433,1525,1,1
694,1143,1,1
379,951,1,1
484,1134,1,1
252,996,1,1
579,1253,1,1
146,1030,1,1
461,858,1,1
396,1696,1,1
93,1160,1,1
499,1701,1,1
120,734,1,1
185,1143,1,1
175,986,1,1
571,897,1,1
2,1238,1,1
120,720,1,1
93,1236,1,1
175,964,1,1
499,1702,1,1
396,1697,1,1
499,1706,1,1
302,996,1,1
546,859,1,1
191,872,1,1
588,1082,1,1
599,806,1,1
252,1036,1,1
175,940,1,1
202,1066,1,1
588,1143,1,1
109,996,1,1
433,1632,1,1
683,772,1,1
654,986,1,1
546,756,1,1
368,827,1,1
268,715,1,1
654,996,1,1
202,1150,1,1
433,1630,1,1
261,1354,1,1
93,1115,1,1
379,1066,1,1
694,1038,1,1
694,1034,1,1
499,1859,1,1
499,1860,1,1
368,848,1,1
175,757,1,1
535,807,1,1
623,1160,1,1
623,1168,1,1
523,779,1,1
694,1102,1,1
279,843,1,1
433,1560,1,1
521,1321,1,1
433,1561,1,1
433,1562,1,1
229,1167,1,1
175,847,1,1
4,1138,1,1
401,1116,1,1
694,1076,1,1
645,1258,1,1
506,940,1,1
93,1138,1,1
588,1169,1,1
356,1880,1,1
654,954,1,1
261,1316,1,1
58,720,1,1
579,1332,1,1
202,951,1,1
151,1180,1,1
175,1138,1,1
672,1696,1,1
672,1695,1,1
226,789,1,1
659,724,1,1
185,1036,1,1
588,929,1,1
461,718,1,1
588,931,1,1
650,1131,1,1
120,872,1,1
549,1138,1,1
120,847,1,1
384,782,1,1
109,1115,1,1
317,902,1,1
396,1878,1,1
396,1877,1,1
396,1876,1,1
672,1697,1,1
120,873,1,1
396,1874,1,1
333,1847,1,1
137,1126,1,1
504,1221,1,1
546,1025,1,1
120,902,1,1
68,1763,1,1
2,1026,1,1
302,1143,1,1
49,873,1,1
54,946,1,1
523,981,1,1
2,1032,1,1
317,872,1,1
588,902,1,1
463,741,1,1
120,883,1,1
573,946,1,1
621,1143,1,1
634,1205,1,1
396,1875,1,1
364,718,1,1
175,996,1,1
579,1354,1,1
694,1269,1,1
109,1036,1,1
654,772,1,1
566,757,1,1
252,1115,1,1
175,1030,1,1
47,816,1,1
588,1017,1,1
120,757,1,1
224,775,1,1
302,1036,1,1
279,714,1,1
579,1344,1,1
504,1356,1,1
650,1030,1,1
588,1034,1,1
588,1036,1,1
588,1038,1,1
2,1161,1,1
588,996,1,1
384,786,1,1
698,1205,1,1
175,1115,1,1
661,820,1,1
93,1343,1,1
579,1417,1,1
639,1313,1,1
521,1102,1,1
588,964,1,1
472,757,1,1
546,946,1,1
204,718,1,1
135,993,1,1
135,994,1,1
261,1136,1,1
678,964,1,1
661,781,1,1
661,775,1,1
659,789,1,1
120,792,1,1
146,1131,1,1
694,1017,1,1
368,858,1,1
31,1109,1,1
324,1115,1,1
58,1034,1,1
58,1038,1,1
329,964,1,1
295,1082,1,1
521,1717,1,1
521,1718,1,1
69,986,1,1
610,756,1,1
334,1027,1,1
97,718,1,1
345,816,1,1
26,1402,1,1
584,816,1,1
346,1076,1,1
694,720,1,1
396,1168,1,1
329,931,1,1
58,1017,1,1
667,987,1,1
494,1167,1,1
93,873,1,1
528,1035,1,1
64,1030,1,1
433,1891,1,1
433,1892,1,1
433,1893,1,1
433,1894,1,1
433,1895,1,1
433,1896,1,1
93,872,1,1
93,847,1,1
374,1378,1,1
329,1017,1,1
429,1043,1,1
593,1019,1,1
214,950,1,1
579,955,1,1
694,768,1,1
8,829,1,1
329,929,1,1
31,1085,1,1
191,1034,1,1
58,1143,1,1
63,736,1,1
418,832,1,1
324,1036,1,1
42,911,1,1
424,1168,1,1
423,1010,1,1
373,1030,1,1
93,734,1,1
346,996,1,1
329,872,1,1
268,1203,1,1
268,1204,1,1
151,1168,1,1
295,1169,1,1
196,1190,1,1
213,806,1,1
158,1695,1,1
340,1143,1,1
69,1074,1,1
329,873,1,1
247,858,1,1
412,1102,1,1
280,1345,1,1
672,1010,1,1
58,1082,1,1
279,1254,1,1
671,847,1,1
329,902,1,1
374,1254,1,1
9,1074,1,1
428,873,1,1
557,781,1,1
395,806,1,1
423,981,1,1
672,981,1,1
584,756,1,1
428,883,1,1
93,757,1,1
616,1269,1,1
86,1223,1,1
671,757,1,1
329,1034,1,1
429,1054,1,1
694,931,1,1
526,1774,1,1
593,891,1,1
528,1205,1,1
433,1742,1,1
594,1562,1,1
15,1074,1,1
540,1035,1,1
700,736,1,1
694,929,1,1
268,821,1,1
93,996,1,1
506,757,1,1
329,1169,1,1
615,714,1,1
599,1102,1,1
93,986,1,1
650,734,1,1
58,872,1,1
312,872,1,1
623,1069,1,1
329,1038,1,1
566,1030,1,1
295,873,1,1
391,1167,1,1
15,1138,1,1
506,847,1,1
93,1066,1,1
175,734,1,1
58,791,1,1
350,883,1,1
694,996,1,1
379,1150,1,1
30,766,1,1
546,710,1,1
25,810,1,1
20,1246,1,1
678,720,1,1
93,1030,1,1
694,964,1,1
373,757,1,1
58,873,1,1
694,902,1,1
506,734,1,1
151,981,1,1
58,931,1,1
291,1694,1,1
329,1087,1,1
423,779,1,1
329,1082,1,1
689,984,1,1
312,996,1,1
302,720,1,1
391,1028,1,1
667,1108,1,1
428,753,1,1
268,966,1,1
671,734,1,1
58,964,1,1
15,986,1,1
151,1010,1,1
694,806,1,1
374,1404,1,1
672,1168,1,1
58,929,1,1
93,940,1,1
655,1630,1,1
329,1143,1,1
290,1131,1,1
611,1132,1,1
93,964,1,1
339,954,1,1
302,756,1,1
180,848,1,1
203,1910,1,1
252,756,1,1
58,902,1,1
295,971,1,1
623,998,1,1
93,951,1,1
694,873,1,1
694,872,1,1
236,1008,1,1
389,2083,1,1
112,1028,1,1
48,964,1,1
691,1066,1,1
432,756,1,1
691,951,1,1
138,1706,1,1
101,902,1,1
564,1017,1,1
564,1143,1,1
133,956,1,1
449,986,1,1
454,1082,1,1
548,1065,1,1
160,1017,1,1
228,757,1,1
171,1143,1,1
183,1010,1,1
50,964,1,1
442,1066,1,1
631,821,1,1
211,832,1,1
569,734,1,1
138,1705,1,1
524,949,1,1
597,1036,1,1
597,1034,1,1
271,734,1,1
138,1701,1,1
437,1070,1,1
138,1702,1,1
100,1070,1,1
564,1138,1,1
575,1036,1,1
393,1271,1,1
265,806,1,1
133,1706,1,1
138,1703,1,1
272,720,1,1
138,1704,1,1
206,964,1,1
154,986,1,1
524,964,1,1
691,1138,1,1
144,981,1,1
668,1878,1,1
564,902,1,1
631,1191,1,1
382,1891,1,1
143,1706,1,1
669,1138,1,1
78,742,1,1
337,827,1,1
101,1038,1,1
116,1254,1,1
299,954,1,1
101,1036,1,1
210,1486,1,1
410,1019,1,1
631,1192,1,1
631,1193,1,1
271,757,1,1
668,1877,1,1
668,1874,1,1
310,1010,1,1
83,756,1,1
668,1875,1,1
597,1017,1,1
210,1481,1,1
28,772,1,1
138,1910,1,1
398,951,1,1
668,1876,1,1
12,1168,1,1
631,1195,1,1
631,1194,1,1
23,1132,1,1
581,1010,1,1
366,832,1,1
133,1702,1,1
514,1167,1,1
564,1036,1,1
575,756,1,1
581,1183,1,1
72,986,1,1
690,1445,1,1
66,1156,1,1
587,775,1,1
684,1494,1,1
343,1074,1,1
133,1701,1,1
376,940,1,1
160,1030,1,1
486,1019,1,1
564,1034,1,1
287,1150,1,1
227,832,1,1
371,791,1,1
382,891,1,1
569,757,1,1
377,757,1,1
696,1066,1,1
144,1695,1,1
144,1696,1,1
144,1697,1,1
448,1143,1,1
597,902,1,1
121,1020,1,1
581,1180,1,1
111,718,1,1
122,781,1,1
22,1127,1,1
101,883,1,1
410,891,1,1
398,1150,1,1
581,981,1,1
587,781,1,1
243,1030,1,1
569,986,1,1
361,852,1,1
564,873,1,1
321,891,1,1
178,858,1,1
371,902,1,1
459,807,1,1
507,1630,1,1
101,1082,1,1
404,1167,1,1
597,1038,1,1
507,1632,1,1
271,1115,1,1
663,1167,1,1
631,1231,1,1
524,940,1,1
310,1168,1,1
101,1076,1,1
486,1025,1,1
316,964,1,1
184,1074,1,1
199,1565,1,1
132,1910,1,1
122,775,1,1
564,1030,1,1
50,929,1,1
23,714,1,1
50,931,1,1
178,718,1,1
393,911,1,1
0,820,1,1
597,791,1,1
189,1165,1,1
586,1038,1,1
564,872,1,1
382,1222,1,1
144,1010,1,1
101,1034,1,1
233,718,1,1
316,986,1,1
228,996,1,1
184,986,1,1
554,823,1,1
548,987,1,1
553,1110,1,1
101,720,1,1
271,847,1,1
310,981,1,1
206,720,1,1
111,1072,1,1
382,1019,1,1
569,940,1,1
498,1030,1,1
398,1066,1,1
271,1036,1,1
553,891,1,1
272,949,1,1
288,1054,1,1
72,1138,1,1
6,832,1,1
607,1010,1,1
101,940,1,1
569,1102,1,1
530,852,1,1
388,1168,1,1
101,996,1,1
244,858,1,1
669,1632,1,1
680,987,1,1
94,1565,1,1
50,1017,1,1
486,1742,1,1
271,1859,1,1
669,1630,1,1
437,1143,1,1
315,997,1,1
110,1695,1,1
597,964,1,1
110,1696,1,1
50,1038,1,1
607,779,1,1
259,1696,1,1
388,1129,1,1
607,1875,1,1
316,872,1,1
607,1878,1,1
524,1030,1,1
101,964,1,1
160,964,1,1
228,986,1,1
287,1066,1,1
607,1876,1,1
553,1126,1,1
607,1877,1,1
101,734,1,1
432,816,1,1
597,720,1,1
110,1697,1,1
607,1874,1,1
405,718,1,1
669,872,1,1
50,1034,1,1
154,1074,1,1
613,1143,1,1
12,981,1,1
426,850,1,1
630,1268,1,1
668,1695,1,1
596,1010,1,1
668,1696,1,1
421,883,1,1
564,964,1,1
